Age,Productivity_Score,Meetings_Per_Week,Job_Satisfaction,WFH_Days_Per_Week,Has_Children_Yes,Location_Type_Suburban,Location_Type_Urban,Department_Group,Education_Group,Job_Level_Group,Company_Size_Group,WFH_Category
0.3055555555555556,0.7079646017699115,0.7333333333333334,0.4264705882352935,5,0.0,0.0,1.0,Non-Tech,Bachelor/Master,Senior,Small,High
0.7222222222222222,0.6035398230088493,0.4666666666666667,1.0,3,1.0,0.0,1.0,Non-Tech,Bachelor/Master,Senior,Large,Medium
0.2777777777777778,1.0,0.6,1.0,5,1.0,0.0,0.0,Tech,Basic,Senior,Small,High
0.2777777777777778,0.36283185840707954,0.4,1.0,4,0.0,0.0,1.0,Non-Tech,Bachelor/Master,Junior,Large,High
0.7499999999999999,0.4371681415929203,0.6,1.0,2,0.0,1.0,0.0,Non-Tech,Basic,Junior,Large,Medium
0.5277777777777778,0.631858407079646,0.4,1.0,0,0.0,1.0,0.0,Non-Tech,Bachelor/Master,Senior,Large,Low
0.4722222222222222,0.5469026548672566,0.33333333333333337,1.0,4,1.0,0.0,1.0,Tech,Advanced,Senior,Large,High
0.2222222222222222,0.7008849557522123,0.8,1.0,4,1.0,0.0,0.0,Tech,Basic,Junior,Large,High
0.2222222222222222,1.0,0.4666666666666667,1.0,5,0.0,1.0,0.0,Tech,Bachelor/Master,Junior,Small,High
0.41666666666666663,0.7469026548672566,0.6666666666666666,1.0,5,0.0,0.0,1.0,Tech,Bachelor/Master,Junior,Small,High
0.0,0.6230088495575221,0.6666666666666666,1.0,3,1.0,0.0,1.0,Non-Tech,Basic,Junior,Small,Medium
0.0,0.40530973451327434,0.4,1.0,0,0.0,0.0,0.0,Tech,Bachelor/Master,Junior,Small,Low
0.19444444444444442,0.7646017699115044,0.33333333333333337,1.0,3,0.0,1.0,0.0,Non-Tech,Bachelor/Master,Junior,Large,Medium
0.08333333333333337,1.0,0.26666666666666666,1.0,4,1.0,1.0,0.0,Non-Tech,Basic,Junior,Small,High
0.41666666666666663,0.686725663716814,0.7333333333333334,1.0,4,1.0,0.0,1.0,Tech,Bachelor/Master,Senior,Small,High
0.0,0.7858407079646019,0.26666666666666666,1.0,3,1.0,0.0,1.0,Non-Tech,Bachelor/Master,Junior,Large,Medium
0.2777777777777778,0.29026548672566355,0.6666666666666666,1.0,2,0.0,1.0,0.0,Tech,Bachelor/Master,Junior,Large,Medium
0.36111111111111116,1.0,0.4666666666666667,1.0,3,0.0,0.0,1.0,Tech,Bachelor/Master,Junior,Small,Medium
0.0,1.0,0.13333333333333336,1.0,1,0.0,1.0,0.0,Non-Tech,Bachelor/Master,Junior,Large,Low
0.2222222222222222,0.6778761061946901,0.2,1.0,2,1.0,0.0,0.0,Tech,Bachelor/Master,Junior,Small,Medium
0.36111111111111116,0.7398230088495574,0.4666666666666667,1.0,2,0.0,1.0,0.0,Tech,Bachelor/Master,Junior,Large,Medium
0.05555555555555558,1.0,0.4666666666666667,1.0,3,0.0,0.0,1.0,Tech,Bachelor/Master,Junior,Small,Medium
0.19444444444444442,0.7362831858407077,0.5333333333333333,0.3235294117647065,4,1.0,0.0,1.0,Tech,Bachelor/Master,Junior,Small,High
0.33333333333333337,0.8477876106194691,0.06666666666666667,1.0,2,1.0,0.0,1.0,Tech,Bachelor/Master,Junior,Large,Medium
0.08333333333333337,0.5876106194690265,0.2,1.0,3,0.0,0.0,1.0,Non-Tech,Advanced,Junior,Small,Medium
0.5555555555555555,0.631858407079646,0.4,1.0,5,0.0,0.0,1.0,Non-Tech,Bachelor/Master,Senior,Large,High
0.38888888888888895,0.8584070796460177,0.4,0.9705882352941178,5,0.0,1.0,0.0,Tech,Bachelor/Master,Senior,Large,High
0.0,0.1539823008849558,0.33333333333333337,1.0,4,1.0,1.0,0.0,Non-Tech,Advanced,Junior,Small,High
0.02777777777777779,0.9292035398230087,0.33333333333333337,1.0,1,0.0,1.0,0.0,Tech,Bachelor/Master,Junior,Small,Low
0.38888888888888895,1.0,0.4666666666666667,1.0,0,1.0,1.0,0.0,Non-Tech,Bachelor/Master,Junior,Large,Low
0.5277777777777778,1.0,0.33333333333333337,1.0,3,1.0,1.0,0.0,Tech,Basic,Senior,Large,Medium
0.38888888888888895,1.0,0.26666666666666666,1.0,2,0.0,0.0,1.0,Non-Tech,Bachelor/Master,Junior,Small,Medium
0.2777777777777778,0.6460176991150441,0.13333333333333336,1.0,4,1.0,0.0,1.0,Tech,Bachelor/Master,Senior,Large,High
0.0,0.5646017699115045,0.06666666666666667,1.0,2,0.0,0.0,1.0,Non-Tech,Bachelor/Master,Junior,Large,Medium
0.16666666666666663,0.5929203539823009,0.4,1.0,2,1.0,0.0,0.0,Tech,Advanced,Junior,Large,Medium
0.2222222222222222,0.8637168141592919,0.33333333333333337,1.0,4,0.0,0.0,1.0,Non-Tech,Bachelor/Master,Junior,Small,High
0.611111111111111,0.6619469026548672,0.4666666666666667,1.0,4,0.0,1.0,0.0,Non-Tech,Bachelor/Master,Senior,Large,High
0.44444444444444453,1.0,0.5333333333333333,1.0,2,1.0,1.0,0.0,Non-Tech,Basic,Junior,Large,Medium
0.0,0.47433628318584065,0.4666666666666667,1.0,4,1.0,0.0,1.0,Non-Tech,Bachelor/Master,Junior,Small,High
0.41666666666666663,0.391150442477876,1.0,1.0,5,1.0,0.0,1.0,Tech,Bachelor/Master,Senior,Large,High
0.25,1.0,0.33333333333333337,1.0,3,1.0,1.0,0.0,Tech,Bachelor/Master,Junior,Small,Medium
0.16666666666666663,0.608849557522124,0.2,1.0,0,1.0,0.0,1.0,Tech,Bachelor/Master,Senior,Small,Low
0.5000000000000001,0.43185840707964607,0.26666666666666666,0.4411764705882355,0,0.0,0.0,1.0,Non-Tech,Bachelor/Master,Senior,Large,Low
0.5833333333333334,0.7327433628318585,0.6,1.0,2,0.0,1.0,0.0,Non-Tech,Bachelor/Master,Senior,Large,Medium
0.13888888888888895,1.0,0.26666666666666666,1.0,5,1.0,0.0,1.0,Non-Tech,Basic,Junior,Small,High
0.2777777777777778,0.9362831858407079,0.7333333333333334,1.0,4,0.0,0.0,1.0,Non-Tech,Bachelor/Master,Senior,Large,High
0.5833333333333334,0.7203539823008849,0.4666666666666667,1.0,5,1.0,0.0,1.0,Tech,Basic,Senior,Large,High
0.2222222222222222,0.5380530973451327,0.26666666666666666,1.0,5,0.0,0.0,1.0,Non-Tech,Bachelor/Master,Junior,Small,High
0.08333333333333337,0.7415929203539824,0.6,1.0,1,0.0,0.0,1.0,Tech,Bachelor/Master,Junior,Large,Low
0.05555555555555558,1.0,0.26666666666666666,1.0,4,0.0,1.0,0.0,Non-Tech,Bachelor/Master,Junior,Large,High
0.5555555555555555,1.0,0.7333333333333334,1.0,2,0.0,1.0,0.0,Non-Tech,Bachelor/Master,Senior,Large,Medium
